id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,challenges_completed,replies,likes,neighborhood_cleanup,tune_up_neighborhood_bike_works,give_the_gift_of_art,improve_the_rec_center,the_woodlands_tree_fund,help_green_lea_elementary_school,books_through_bars,fresh_food_on_wheels,second_mile_thrift_store,west_philly_tool_library,,,,,,,
2337,Observer,White,Female,Master's Degree,"$25,000 - $50,000",,1954,I prefer not to answer,,I prefer not to answer,100%,0,7,210,510,630,,,,,,,,,,,,,,
2296,Lives in University/Southwest,White,Female,Bachelor's Degree,"$75,000 - $100,000",19143,1985,I prefer not to answer,"Yes, by email",Yes,100%,0,44,210,540,740,,,,,,,,,,,,,,
2424,"Lives in University/Southwest, Student",White,Female,Bachelor's Degree,I prefer not to answer,19143,1989,Yes,"Yes, through community meetings",No,100%,0,6,200,160,50,60,100,200,500,,,,,,,,,,
2258,,White,Male,Doctoral Degree,,,1951,I prefer not to answer,,I prefer not to answer,100%,1,21,170,50,440,630,,,,,,,,,,,,,
2360,Lives in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",19139,1983,No,"Yes, through community meetings",Yes,100%,0,17,170,310,1,479,,,,,,,,,,,,,
2306,"Lives in University/Southwest, Works in University/Southwest",White,Male,Master's Degree,"$50,000 - $75,000",19104,1983,Yes,"Yes, through personal meetings",Yes,100%,0,19,160,740,170,300,,,,,,,,,,,,,
2283,Community Organizer or Activist,White,,Bachelor's Degree,"$50,000 - $75,000",,1989,I prefer not to answer,"Yes, by email",I prefer not to answer,100%,5,29,150,470,300,,,,,,,,,,,,,,
3252,Lives in University/Southwest,White,Male,Master's Degree,"$75,000 - $100,000",19104,1946,No,"Yes, by email",No,100%,0,11,140,460,470,,,,,,,,,,,,,,
3238,Lives in University/Southwest,White,Female,Master's Degree,I prefer not to answer,19143,1967,No,"Yes, by phone",Yes,100%,0,10,120,360,680,100,100,,,,,,,,,,,,
2993,Observer,White,Female,Master's Degree,I prefer not to answer,19102,1970,Yes,"Yes, through community meetings",Yes,100%,0,31,120,50,30,120,200,250,100,250,100,50,,,,,,,
2274,Student,White,Male,Bachelor's Degree,"$25,000 - $50,000",19107,1990,No,"Yes, through personal meetings",Yes,100%,5,27,110,100,1240,,,,,,,,,,,,,,
2757,"Lives in University/Southwest, Works in University/Southwest",White,I prefer not to answer,Bachelor's Degree,"$25,000 - $50,000",19143,1977,No,"Yes, by email",I prefer not to answer,100%,7,30,100,150,10,440,50,120,10,70,350,250,100,,,,,,
2236,"Lives in University/Southwest, Works in University/Southwest",White,Female,Bachelor's Degree,"$50,000 - $75,000",,1989,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,100%,0,18,100,100,50,100,260,345,20,100,345,,,,,,,,
2634,"Educator, Lives in University/Southwest, Works in University/Southwest",White,Female,Master's Degree,"$50,000 - $75,000",19143,1980,No,"Yes, by email",I prefer not to answer,100%,5,43,75,20,200,50,200,200,150,120,75,200,200,70,50,,,,
2401,"Community Organizer or Activist, Lives in University/Southwest, Student, Volunteer",White,Female,Bachelor's Degree,"$50,000 - $75,000",,1993,Yes,"Yes, through social media",Yes,100%,0,22,70,100,70,75,100,75,50,100,75,100,100,75,75,100,35,100,
2417,"Lives in University/Southwest, Works in University/Southwest",White,I prefer not to answer,Bachelor's Degree,"$25,000 - $50,000",,1963,Yes,"Yes, through community meetings",No,100%,3,56,70,140,205,80,300,300,70,100,205,,,,,,,,
2364,Observer,White,Male,Bachelor's Degree,"over $100,000",19146,1976,I prefer not to answer,"Yes, by email",I prefer not to answer,100%,24,55,60,60,30,60,1180,30,100,20,,,,,,,,,
2346,Lives in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",19139,1984,No,"Yes, by email",Yes,100%,2,41,60,800,200,150,100,,,,,,,,,,,,
2242,Observer,I prefer not to answer,Male,Master's Degree,"over $100,000",19146,1951,No,Other,No,100%,0,0,60,85,60,85,85,60,85,630,,,,,,,,,
2881,Lives in University/Southwest,White,Female,Doctoral Degree,I prefer not to answer,19139,1969,Yes,"Yes, by email",Yes,100%,8,24,50,76,50,76,15,10,76,50,76,76,15,50,76,10,4,400,410
2272,Lives in University/Southwest,White,Male,Bachelor's Degree,"$75,000 - $100,000",19143,1952,Yes,"Yes, through community meetings",Yes,100%,0,8,50,100,380,50,260,300,50,100,50,,,,,,,,
2834,,White,Female,Master's Degree,"over $100,000",19106,1978,Yes,"Yes, through social media",Yes,100%,6,18,50,200,200,,,,,,,,,,,,,,
2383,Lives in University/Southwest,Asian,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1990,I prefer not to answer,No communication,Yes,100%,2,51,50,50,60,50,50,740,100,220,,,,,,,,,
2735,Lives in University/Southwest,White,Male,Master's Degree,"$75,000 - $100,000",19104,1978,Yes,"Yes, by letter",Yes,100%,5,23,10,100,40,460,70,720,70,130,150,,,,,,,,
2871,,White,Male,Master's Degree,"$75,000 - $100,000",19143,1978,No,No communication,Yes,100%,11,32,10,720,150,70,630,,,,,,,,,,,,
2341,Observer,White,Male,Bachelor's Degree,"$25,000 - $50,000",,1982,I prefer not to answer,"Yes, through personal meetings",I prefer not to answer,100%,1,23,10,300,550,680,,,,,,,,,,,,,
3011,Lives in University/Southwest,White,Female,Bachelor's Degree,I prefer not to answer,19143,1978,Yes,"Yes, through community meetings",Yes,100%,0,23,1,309,90,50,440,630,,,,,,,,,,,
2275,,White,Female,Master's Degree,"$25,000 - $50,000",,1987,I prefer not to answer,No communication,I prefer not to answer,100%,0,11,,,,,,,,,,,,,,,,,
2427,,White,Female,Master's Degree,"$25,000 - $50,000",19144,1957,Yes,"Yes, by email",Yes,98%,0,14,1000,,,,,,,,,,,,,,,,
2347,Works in University/Southwest,White,Female,Bachelor's Degree,"$25,000 - $50,000",,1990,I prefer not to answer,"Yes, by email",I prefer not to answer,98%,0,34,60,50,400,30,20,500,180,50,,,,,,,,,
2342,Lives in University/Southwest,White,Female,Bachelor's Degree,"over $100,000",19104,1978,No,"Yes, by email",Yes,96%,0,19,160,460,300,,,,,,,,,,,,,,
3018,"Lives in University/Southwest, Student, Works in University/Southwest",White,Female,Master's Degree,"$25,000 - $50,000",19104,1987,Yes,"Yes, through social media",Yes,96%,0,18,1,189,40,180,120,660,220,,,,,,,,,,
2590,"Community Organizer or Activist, Lives in University/Southwest, Volunteer",White,Male,Bachelor's Degree,"$50,000 - $75,000",19143,1985,No,"Yes, by phone",I prefer not to answer,85%,5,21,500,500,160,,,,,,,,,,,,,,
2315,Lives in University/Southwest,White,Female,Bachelor's Degree,"over $100,000",19104,1975,No,"Yes, through community meetings",Yes,85%,0,21,100,790,25,25,100,50,,,,,,,,,,,
2777,Community Organizer or Activist,White,Female,Bachelor's Degree,"$50,000 - $75,000",19125,1988,Yes,"Yes, by letter",Yes,85%,2,48,50,,,,,,,,,,,,,,,,
2782,Works in University/Southwest,White,Male,Master's Degree,"$25,000 - $50,000",19102,1983,I prefer not to answer,"Yes, through social media",I prefer not to answer,83%,0,12,220,340,510,,,,,,,,,,,,,,
2610,Community Organizer or Activist,White,I prefer not to answer,Bachelor's Degree,"$25,000 - $50,000",19104,1984,Yes,No communication,Yes,79%,0,2,570,150,100,,,,,,,,,,,,,,
2884,"Lives in University/Southwest, Works in University/Southwest",White,Male,Doctoral Degree,"over $100,000",19143,1968,No,"Yes, through personal meetings",Yes,79%,0,15,510,220,,,,,,,,,,,,,,,
2358,Works in University/Southwest,,Female,Professional Degree,"$50,000 - $75,000",,1982,I prefer not to answer,"Yes, by email",I prefer not to answer,79%,19,103,210,190,70,300,740,,,,,,,,,,,,
2374,Observer,White,Male,Master's Degree,"$25,000 - $50,000",19107,1970,I prefer not to answer,I prefer not to answer,I prefer not to answer,77%,0,8,220,520,,,,,,,,,,,,,,,
2637,Works in University/Southwest,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,1970,2000,No,I prefer not to answer,I prefer not to answer,77%,10,27,5,85,240,260,50,150,130,,,,,,,,,,
2366,Lives in University/Southwest,White,Male,Doctoral Degree,"$50,000 - $75,000",19143,1981,No,No communication,No,75%,0,14,200,400,,,,,,,,,,,,,,,
2673,Works in University/Southwest,White,Male,Doctoral Degree,"over $100,000",19010,1976,No,"Yes, through community meetings",No,73%,0,5,200,140,200,200,200,200,,,,,,,,,,,
3270,Lives in University/Southwest,White,Female,Bachelor's Degree,"$75,000 - $100,000",19143,1985,No,"Yes, by email",Yes,71%,0,4,250,310,500,,,,,,,,,,,,,,
3243,Lives in University/Southwest,White,Female,Bachelor's Degree,"over $100,000",19104,1962,No,"Yes, through community meetings",Yes,71%,1,10,20,310,650,,,,,,,,,,,,,,
3344,Lives in University/Southwest,White,Male,Master's Degree,"$50,000 - $75,000",19143,1983,No,No communication,No,67%,1,17,1200,,,,,,,,,,,,,,,,
3404,Works in University/Southwest,White,Female,Master's Degree,I prefer not to answer,19128,1975,Yes,"Yes, through community meetings",Yes,67%,0,5,740,460,,,,,,,,,,,,,,,
2754,"Community Organizer or Activist, Lives in University/Southwest",White,Male,Master's Degree,"$75,000 - $100,000",19143,1975,No,"Yes, by phone",Yes,67%,3,8,710,220,,,,,,,,,,,,,,,
3502,Lives in University/Southwest,White,Female,Master's Degree,"over $100,000",19146,1969,Yes,"Yes, by email",Yes,67%,0,8,460,740,,,,,,,,,,,,,,,
3531,,White,Male,Bachelor's Degree,"$25,000 - $50,000",19123,1985,Yes,"Yes, through personal meetings",Yes,67%,0,9,460,620,,,,,,,,,,,,,,,
3431,,White,I prefer not to answer,Bachelor's Degree,"$50,000 - $75,000",19143,1987,No,No communication,Yes,67%,0,3,460,630,,,,,,,,,,,,,,,
2235,,Multiracial,Female,Master's Degree,"$25,000 - $50,000",19143,1988,No,"Yes, through personal meetings",No,67%,0,19,460,690,,,,,,,,,,,,,,,
3532,"Community Organizer or Activist, Religious Leader, Works in University/Southwest","Hispanic, Latino, or Spanish",Female,Doctoral Degree,I prefer not to answer,19143,2000,Yes,"Yes, through community meetings",Yes,67%,0,5,450,590,,,,,,,,,,,,,,,
3475,Lives in University/Southwest,White,Male,Bachelor's Degree,"$75,000 - $100,000",19143,1978,No,"Yes, through social media",I prefer not to answer,67%,0,7,420,620,,,,,,,,,,,,,,,
3520,Educator,White,Female,Master's Degree,"over $100,000",19147,1974,No,"Yes, by email",Yes,67%,0,4,410,50,630,,,,,,,,,,,,,,
3227,Lives in University/Southwest,White,Male,Master's Degree,"$75,000 - $100,000",19104,1981,Yes,"Yes, by email",I prefer not to answer,67%,0,6,360,650,,,,,,,,,,,,,,,
3425,"Community Organizer or Activist, Lives in University/Southwest, Volunteer",I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,19142,1952,Yes,Other,Yes,67%,0,1,340,630,,,,,,,,,,,,,,,
2270,Works in University/Southwest,White,Female,Bachelor's Degree,"$50,000 - $75,000",19119,1978,No,"Yes, through social media",No,67%,0,10,320,100,630,,,,,,,,,,,,,,
3537,"Educator, Lives in University/Southwest",I prefer not to answer,I prefer not to answer,Doctoral Degree,"$25,000 - $50,000",19143,1983,No,No communication,Yes,67%,0,7,320,600,,,,,,,,,,,,,,,
2390,Works in University/Southwest,White,Male,Master's Degree,I prefer not to answer,19139,1972,Yes,"Yes, through community meetings",I prefer not to answer,67%,0,11,250,560,,,,,,,,,,,,,,,
2438,"Community Organizer or Activist, Lives in University/Southwest",White,Male,Bachelor's Degree,"$75,000 - $100,000",19104,1965,Yes,Other,Yes,67%,0,13,230,570,230,109,1,,,,,,,,,,,,
3006,Lives in University/Southwest,White,Female,Master's Degree,"over $100,000",19104,1971,No,"Yes, by email",Yes,67%,0,3,210,1,,,,,,,,,,,,,,,
2447,,White,Male,Bachelor's Degree,"$25,000 - $50,000",19143,1986,Yes,No communication,Yes,67%,0,5,210,690,,,,,,,,,,,,,,,
2668,Volunteer,White,Female,Bachelor's Degree,"$25,000 - $50,000",98122,1989,Yes,"Yes, by phone",I prefer not to answer,67%,0,1,210,630,,,,,,,,,,,,,,,
3082,Volunteer,Black or African American,Female,Associate's Degree,"$25,000 - $50,000",19050,1965,Yes,"Yes, by email",Yes,67%,3,9,100,160,200,200,250,90,100,,,,,,,,,,
2436,Observer,White,Male,Some College,"$75,000 - $100,000",,1964,Yes,"Yes, through personal meetings",No,67%,0,17,100,730,100,,,,,,,,,,,,,,
3334,"Lives in University/Southwest, Student",White,Female,Master's Degree,"$50,000 - $75,000",19143,1988,No,"Yes, by email",No,67%,0,16,60,50,50,200,530,200,50,,,,,,,,,,
2751,Student,White,Female,Doctoral Degree,"over $100,000",10042,1986,No,No communication,Yes,67%,2,3,60,150,510,,,,,,,,,,,,,,
2326,Lives in University/Southwest,Asian,Female,Master's Degree,"$50,000 - $75,000",,1976,I prefer not to answer,"Yes, by email",I prefer not to answer,67%,0,16,50,140,540,30,,,,,,,,,,,,,
2381,Lives in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",19143,1982,No,"Yes, by letter",I prefer not to answer,67%,0,1,40,10,140,60,200,350,30,50,,,,,,,,,
2233,Works in University/Southwest,,,,"$25,000 - $50,000",,,I prefer not to answer,,I prefer not to answer,67%,2,26,,,,,,,,,,,,,,,,,
2923,,White,Male,Master's Degree,"over $100,000",19128,1946,Yes,"Yes, through personal meetings",Yes,65%,0,2,,,,,,,,,,,,,,,,,
3236,,I prefer not to answer,Male,Doctoral Degree,I prefer not to answer,19104,1979,No,No communication,No,62%,5,6,,,,,,,,,,,,,,,,,
2247,Observer,Asian,Female,Bachelor's Degree,I prefer not to answer,19147,1983,Yes,"Yes, by phone",I prefer not to answer,58%,0,7,130,,,,,,,,,,,,,,,,
2802,,White,Male,Some College,I prefer not to answer,19104,1992,No,No communication,I prefer not to answer,58%,0,3,30,100,30,,,,,,,,,,,,,,
3569,,White,Male,Doctoral Degree,"$75,000 - $100,000",19104,1935,No,"Yes, through community meetings",Yes,54%,0,4,100,100,80,,,,,,,,,,,,,,
2440,,White,Female,Master's Degree,"$25,000 - $50,000",19102,1988,Yes,"Yes, by phone",No,54%,0,30,30,30,50,30,70,,,,,,,,,,,,
2430,Educator,White,Male,Doctoral Degree,"$75,000 - $100,000",19008,1953,No,"Yes, by email",Yes,54%,0,13,20,300,100,,,,,,,,,,,,,,
2269,Community Organizer or Activist,Black or African American,Female,Associate's Degree,"$50,000 - $75,000",19104,1955,Yes,"Yes, through personal meetings",Yes,54%,0,5,,,,,,,,,,,,,,,,,
2354,Observer,White,Female,Master's Degree,,,1979,I prefer not to answer,"Yes, through personal meetings",I prefer not to answer,52%,3,25,220,,,,,,,,,,,,,,,,
2362,Observer,White,Female,Master's Degree,"over $100,000",19145,1980,Yes,"Yes, by email",Yes,50%,0,20,720,,,,,,,,,,,,,,,,
3014,Lives in University/Southwest,Other,Female,Bachelor's Degree,"$75,000 - $100,000",19143,1973,No,"Yes, by email",Yes,50%,0,17,360,,,,,,,,,,,,,,,,
3577,"Business Owner, Lives in University/Southwest, Works in University/Southwest",White,Female,Bachelor's Degree,"$75,000 - $100,000",19104,1961,No,"Yes, by email",Yes,50%,0,6,240,,,,,,,,,,,,,,,,
2622,Observer,White,Male,Doctoral Degree,"over $100,000",2130,1973,Yes,"Yes, through social media",Yes,50%,21,39,50,60,90,10,30,100,70,180,30,,,,,,,,
3028,Lives in University/Southwest,White,Female,Master's Degree,"over $100,000",19104,1966,Yes,"Yes, through community meetings",Yes,50%,0,2,1,199,,,,,,,,,,,,,,,
2257,"Lives in University/Southwest, Volunteer",White,Female,Master's Degree,"over $100,000",19143,1977,Yes,"Yes, by email",Yes,48%,0,8,870,,,,,,,,,,,,,,,,
2922,,,,,,,,I prefer not to answer,,I prefer not to answer,48%,0,2,,,,,,,,,,,,,,,,,
2403,Business Owner,I prefer not to answer,Male,Bachelor's Degree,"$25,000 - $50,000",,1988,No,No communication,No,48%,0,1,,,,,,,,,,,,,,,,,
2818,Lives in University/Southwest,White,Female,Master's Degree,I prefer not to answer,19143,1951,I prefer not to answer,"Yes, by email",Yes,46%,0,1,620,,,,,,,,,,,,,,,,
2817,Lives in University/Southwest,White,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1974,No,No communication,Yes,46%,0,5,550,,,,,,,,,,,,,,,,
2648,"Educator, Student",White,Male,Bachelor's Degree,"$50,000 - $75,000",19104,1985,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,46%,4,4,250,250,210,,,,,,,,,,,,,,
2301,Observer,White,Male,Bachelor's Degree,"over $100,000",,1983,I prefer not to answer,"Yes, through social media",I prefer not to answer,46%,1,5,130,110,,,,,,,,,,,,,,,
2316,Works in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",19125,1982,Yes,"Yes, through community meetings",Yes,46%,0,21,120,100,,,,,,,,,,,,,,,
2443,Observer,White,Female,Master's Degree,"over $100,000",,1964,Yes,"Yes, through community meetings",Yes,46%,0,8,100,1,100,1,218,,,,,,,,,,,,
3495,Lives in University/Southwest,White,Male,Bachelor's Degree,"$50,000 - $75,000",19143,1985,No,No communication,Yes,44%,0,5,480,,,,,,,,,,,,,,,,
2244,"Business Owner, Community Organizer or Activist, Lives in University/Southwest",White,Male,Some College,"$25,000 - $50,000",,1973,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,44%,0,6,200,160,,,,,,,,,,,,,,,
2359,Lives in University/Southwest,White,Female,Master's Degree,"$25,000 - $50,000",19143,1984,Yes,"Yes, by email",No,44%,0,3,140,,,,,,,,,,,,,,,,
2249,Lives in University/Southwest,,Female,Bachelor's Degree,,,1975,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,44%,2,7,15,,,,,,,,,,,,,,,,
2685,Community Organizer or Activist,Black or African American,Female,Some College,"$25,000 - $50,000",19143,1955,No,"Yes, through community meetings",Yes,42%,0,3,80,60,510,,,,,,,,,,,,,,
3571,Lives in University/Southwest,White,Female,Master's Degree,I prefer not to answer,19104,1939,No,No communication,Yes,40%,0,7,460,,,,,,,,,,,,,,,,
2878,Student,White,Female,Bachelor's Degree,"$50,000 - $75,000",19104,1988,No,No communication,Yes,40%,0,1,200,,,,,,,,,,,,,,,,
2642,,I prefer not to answer,Male,Master's Degree,"over $100,000",19130,1977,Yes,No communication,No,40%,0,6,145,75,,,,,,,,,,,,,,,
3385,Lives in University/Southwest,White,Male,Bachelor's Degree,"$25,000 - $50,000",19143,1967,No,"Yes, by email",No,38%,0,1,230,230,,,,,,,,,,,,,,,
2453,Lives in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",,1987,No,No communication,Yes,38%,0,6,100,100,,,,,,,,,,,,,,,
3266,Lives in University/Southwest,White,Male,Master's Degree,"over $100,000",19143,1955,Yes,"Yes, through community meetings",Yes,38%,0,1,50,50,50,,,,,,,,,,,,,,
3524,Lives in University/Southwest,White,Male,Bachelor's Degree,"$50,000 - $75,000",19143,1988,No,No communication,No,35%,0,1,700,,,,,,,,,,,,,,,,
3541,Observer,White,Male,Professional Degree,"$50,000 - $75,000",19130,1977,No,"Yes, through community meetings",No,35%,0,13,460,,,,,,,,,,,,,,,,
2772,Volunteer,I prefer not to answer,Male,Master's Degree,I prefer not to answer,19143,1971,Yes,"Yes, through community meetings",Yes,35%,0,1,160,,,,,,,,,,,,,,,,
2261,Observer,"Hispanic, Latino, or Spanish",Male,Professional Degree,"$50,000 - $75,000",2130,1989,I prefer not to answer,"Yes, by email",I prefer not to answer,35%,3,37,150,60,,,,,,,,,,,,,,,
3225,,White,Female,Bachelor's Degree,"$25,000 - $50,000",19139,1980,I prefer not to answer,No communication,No,35%,0,4,100,120,50,,,,,,,,,,,,,,
2630,Lives in University/Southwest,White,Female,Doctoral Degree,"$50,000 - $75,000",19104,1985,No,"Yes, through community meetings",Yes,35%,4,12,30,40,100,90,,,,,,,,,,,,,
2921,"Community Organizer or Activist, Lives in University/Southwest",,,,,,,I prefer not to answer,,I prefer not to answer,35%,0,18,,,,,,,,,,,,,,,,,
3644,Student,White,Female,Bachelor's Degree,"$50,000 - $75,000",19147,1985,No,"Yes, by email",No,33%,0,2,710,,,,,,,,,,,,,,,,
3432,Lives in University/Southwest,White,Female,Master's Degree,"over $100,000",19139,1977,Yes,"Yes, by email",Yes,33%,0,0,710,,,,,,,,,,,,,,,,
3645,Student,White,Male,Master's Degree,"$50,000 - $75,000",19147,1982,No,"Yes, through community meetings",Yes,33%,0,1,710,,,,,,,,,,,,,,,,
3714,Lives in University/Southwest,White,Male,Bachelor's Degree,"$25,000 - $50,000",19143,1987,Yes,"Yes, by letter",No,33%,0,0,690,,,,,,,,,,,,,,,,
3587,,White,Female,Master's Degree,"$75,000 - $100,000",19119,1957,Yes,"Yes, through personal meetings",No,33%,0,7,640,,,,,,,,,,,,,,,,
3718,Lives in University/Southwest,White,Female,Some College,"$50,000 - $75,000",19143,1989,No,"Yes, by email",Yes,33%,0,0,630,,,,,,,,,,,,,,,,
3709,,Asian,Male,Master's Degree,"over $100,000",19143,1967,No,"Yes, through community meetings",I prefer not to answer,33%,0,0,630,,,,,,,,,,,,,,,,
3593,,White,Female,Bachelor's Degree,"$25,000 - $50,000",19143,1986,No,"Yes, by email",No,33%,0,0,630,,,,,,,,,,,,,,,,
3679,,Other,Female,Master's Degree,I prefer not to answer,19050,1978,Yes,"Yes, by email",Yes,33%,0,0,630,,,,,,,,,,,,,,,,
3708,"Lives in University/Southwest, Volunteer",White,Female,Bachelor's Degree,"$25,000 - $50,000",19143,1984,Yes,"Yes, through community meetings",Yes,33%,0,1,630,,,,,,,,,,,,,,,,
3703,,Black or African American,Female,Some College,"$50,000 - $75,000",19143,1941,No,"Yes, through community meetings",Yes,33%,0,1,630,,,,,,,,,,,,,,,,
3697,,White,Male,Bachelor's Degree,I prefer not to answer,19143,1947,Yes,"Yes, through community meetings",Yes,33%,0,1,560,,,,,,,,,,,,,,,,
3610,Lives in University/Southwest,White,Male,Bachelor's Degree,"$50,000 - $75,000",19143,1973,I prefer not to answer,"Yes, by email",Yes,33%,0,0,560,,,,,,,,,,,,,,,,
3682,"Lives in University/Southwest, Student",Black or African American,Female,High School or less,"$50,000 - $75,000",19143,1995,Yes,No communication,Yes,33%,0,0,500,150,,,,,,,,,,,,,,,
3546,,White,Male,Doctoral Degree,"$75,000 - $100,000",19104,1984,Yes,No communication,Yes,33%,0,11,460,,,,,,,,,,,,,,,,
3323,Lives in University/Southwest,American Indian or Alaskan Native,Male,Master's Degree,"over $100,000",19143,1982,No,"Yes, through social media",No,33%,0,6,460,,,,,,,,,,,,,,,,
3406,Observer,White,Female,Master's Degree,"over $100,000",19147,1971,Yes,"Yes, through community meetings",Yes,33%,0,4,460,,,,,,,,,,,,,,,,
3386,Lives in University/Southwest,White,Male,Bachelor's Degree,"$50,000 - $75,000",19139,1981,Yes,"Yes, by email",Yes,33%,0,4,460,,,,,,,,,,,,,,,,
3493,,Other,Male,I prefer not to answer,I prefer not to answer,19143,1990,Yes,Other,Yes,33%,0,4,460,,,,,,,,,,,,,,,,
3393,Lives in University/Southwest,White,Female,Doctoral Degree,"$50,000 - $75,000",19143,1987,No,No communication,No,33%,0,3,460,,,,,,,,,,,,,,,,
3566,Educator,White,Female,Master's Degree,I prefer not to answer,19104,1970,Yes,"Yes, by phone",Yes,33%,1,6,450,,,,,,,,,,,,,,,,
3716,Community Organizer or Activist,White,Female,Doctoral Degree,I prefer not to answer,19143,2000,Yes,"Yes, by letter",Yes,33%,0,0,450,,,,,,,,,,,,,,,,
3710,,"Hispanic, Latino, or Spanish",I prefer not to answer,Bachelor's Degree,"$50,000 - $75,000",19143,1983,No,"Yes, by phone",I prefer not to answer,33%,0,0,440,,,,,,,,,,,,,,,,
3461,Observer,White,Male,Master's Degree,"$50,000 - $75,000",19026,1989,Yes,"Yes, by email",No,33%,0,3,420,,,,,,,,,,,,,,,,
3338,,White,Female,Bachelor's Degree,"$75,000 - $100,000",19139,1977,No,"Yes, through community meetings",Yes,33%,0,7,420,,,,,,,,,,,,,,,,
3676,,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,19143,1974,No,"Yes, through community meetings",Yes,33%,1,0,400,100,,,,,,,,,,,,,,,
3564,,White,Female,Doctoral Degree,"over $100,000",19104,1965,Yes,"Yes, by email",Yes,33%,0,8,400,,,,,,,,,,,,,,,,
3422,,I prefer not to answer,I prefer not to answer,I prefer not to answer,"$25,000 - $50,000",19104,1984,Yes,No communication,No,33%,0,4,380,,,,,,,,,,,,,,,,
