id,age,gender,race,income,stake,challenge,response,0,0,comments,comments,likes,challenge,response,0,0,comments,comments,likes
12,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,3,5,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,7
13,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,7,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,3
14,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,3,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
15,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,0,3,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,6
16,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,0,4,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
17,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,0,1,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
18,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,0,5,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,4
19,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,3,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,0
20,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,7,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,1
21,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,3,7,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
22,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,3,0,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,7
23,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,4,3,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
24,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,4,7,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,4
25,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,4,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,1
26,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,2,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,6
27,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,4,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,4
28,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,2,2,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,4
29,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,4,4,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,6
30,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,0,6,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
31,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,2,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,1
32,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,2,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,5
33,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,1,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,2
34,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,0,5,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,1
35,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,0,6,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,1
36,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,1,2,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,4
37,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,1,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,5
38,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,3,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,0
39,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,1,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,5
40,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,0,2,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,2
41,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,3,7,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,1
42,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,3,4,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
43,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,0,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,4
44,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,3,7,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
45,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,3,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,5
46,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,2,6,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
47,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,2,0,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,7
48,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,0,1,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,0
49,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,2,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
50,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,7,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,1
51,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,0,4,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,4
52,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,3,2,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
53,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,1,5,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
54,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,3,6,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
55,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,0,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,3
56,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,1
57,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,0,2,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
58,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,0,2,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
59,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,4,4,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
60,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,3,2,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,7
61,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,2,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,7
62,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,3,4,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,1
63,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,2,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,6
64,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,2,5,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,2
65,55,FeUnspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,2,5,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,6
66,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,3,4,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,1
67,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,0,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,5
68,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,1,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,1
69,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,0,2,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,2
70,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,1,2,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,7
71,55,FeUnspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,0,6,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,1
72,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,1,6,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,7
73,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,3,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,2
74,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,4,4,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,5
75,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,0
76,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,1,0,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
77,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,3,0,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,1
78,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,3,4,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,3
79,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,3,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,6
80,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,3,3,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,1
81,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,2,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,2
82,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,0,1,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,3
83,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,3,1,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,0
84,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,0,0,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,2
85,48,Female,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,0,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,1
86,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,3,3,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,0
87,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,0,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,3
88,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,2,4,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,4
89,55,Female,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,3,7,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,7
90,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,2,6,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,1
91,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,3,5,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,7
92,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,0,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
93,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,0,1,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,1
94,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,0,2,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,5
95,55,FeUnspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,0,7,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,1
96,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,0,6,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,6
97,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,1,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,1
98,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,1,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,4
99,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,4,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,2
100,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,2,6,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,5
101,55,FeUnspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,3,4,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,7
102,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,1,6,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,1
103,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,0,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,5
104,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,1,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,7
105,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,5,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,6
106,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,3,7,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,3
107,55,FeUnspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,3,3,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,3
108,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,4,2,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,5
109,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,4,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,2
110,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,4,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,2
111,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,0,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,1
112,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,1,1,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
113,55,FeUnspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,0,6,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,1
114,12,Unspecified,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,0,4,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,5
115,48,FeUnspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,1,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,2
116,34,Unspecified,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,0,7,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,6
117,33,Unspecified,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,1,3,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,7
118,18,Unspecified,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,4,1,2346,I love awesome things are great,10,1.6666666666666667,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,0
