user_id,stake,race,gender,education,income,zip_code,birth_year,how_discovered,prior_participation,communication_with_government,worked_in_planning,goal_in_playing,coins,challenges_completed
3266,Lives in,White,Male,Master's Degree,over $100k,19143,1955,From a local blog,Yes,"Yes, through community meetings",Yes,Learn about issues in my community,260,38%
2751,Student,White,Female,Doctoral Degree,over $100k,10042,1986,From a friend,No,No communication,Yes,Share my ideas about how to change my community,720,67%
3383,Lives in,White,Female,Master's Degree,over $100k,19104,1966,From an organization (i.e. boys and girls club),No,No communication,unspecified,Share my ideas about how to change my community,170,12%
3463,Community Organizer or Activist,White,Male,Bachelor's Degree,over $100k,19146,1978,From a local blog,Yes,"Yes, through community meetings",Yes,Haven't thought about it,20,2%
2301,Observer,White,Male,Bachelor's Degree,over $100k,,1983,From an organization (i.e. boys and girls club),unspecified,"Yes, through social media",unspecified,Learn about issues in my community,420,46%
2680,Lives in,White,Male,Bachelor's Degree,over $100k,19143,1979,From a friend,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1300,100%
2923,,White,Male,Master's Degree,over $100k,19128,1946,From an organization (i.e. boys and girls club),Yes,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,460,65%
2884,"Lives in, Works In",White,Male,Doctoral Degree,over $100k,19143,1968,From a friend,No,"Yes, through personal meetings",Yes,Learn about issues in my community,970,79%
2257,"Lives in, Volunteer",White,Female,Master's Degree,over $100k,19143,1977,From a friend,Yes,"Yes, by email",Yes,Haven't thought about it,870,48%
2315,Lives in,White,Female,Bachelor's Degree,over $100k,19104,1975,From a friend,No,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1090,85%
3278,,White,Female,Professional Degree,over $100k,19107,1952,From the city,No,"Yes, through personal meetings",No,Connect with decision makers,20,2%
2643,Observer,White,Male,Master's Degree,over $100k,19104,1983,From a friend,No,No communication,unspecified,unspecified,1360,100%
3406,Observer,White,Female,Master's Degree,over $100k,19147,1971,From the city,Yes,"Yes, through community meetings",Yes,Connect with decision makers,490,33%
3549,Lives in,White,Male,Master's Degree,over $100k,19104,1973,From a local blog,Yes,"Yes, through community meetings",No,Share my ideas about how to change my community,540,27%
3028,Lives in,White,Female,Master's Degree,over $100k,19104,1966,From the city,Yes,"Yes, through community meetings",Yes,Learn about issues in my community,450,50%
3468,Lives in,White,Female,Master's Degree,over $100k,17057,1985,From the city,Yes,"Yes, through personal meetings",No,Share my ideas about how to change my community,100,8%
3017,Observer,White,Male,Master's Degree,over $100k,19406,1988,From a local blog,Yes,"Yes, by email",No,Haven't thought about it,220,33%
3010,,White,Male,Professional Degree,over $100k,19104,1979,From an organization (i.e. boys and girls club),No,No communication,No,Learn about issues in my community,360,33%
2455,Lives in,White,Male,Bachelor's Degree,over $100k,,1983,From the city,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1460,100%
3219,Educator,White,Male,Master's Degree,over $100k,19118,1952,From the city,Yes,"Yes, by email",unspecified,Connect with decision makers,160,33%
3432,Lives in,White,Female,Master's Degree,over $100k,19139,1977,From an organization (i.e. boys and girls club),Yes,"Yes, by email",Yes,Share my ideas about how to change my community,710,33%
2260,"Lives in, Works In",White,Female,Master's Degree,over $100k,19143,1973,From a friend,No,No communication,Yes,Share my ideas about how to change my community,180,29%
2404,Works In,White,Female,Master's Degree,over $100k,19104,1974,From an organization (i.e. boys and girls club),Yes,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,540,33%
2673,Works In,White,Male,Doctoral Degree,over $100k,19010,1976,From a local blog,No,"Yes, through community meetings",No,Learn about issues in my community,1140,73%
3617,Volunteer,White,Male,Bachelor's Degree,over $100k,19106,1985,From a local blog,No,"Yes, through social media",Yes,Learn about issues in my community,170,8%
2834,,White,Female,Master's Degree,over $100k,19106,1978,From the city,Yes,"Yes, through social media",Yes,Share my ideas about how to change my community,1360,100%
2774,,White,Female,Doctoral Degree,over $100k,19143,1975,From a friend,No,"Yes, by email",Yes,Learn about issues in my community,200,33%
3564,,White,Female,Doctoral Degree,over $100k,19104,1965,From an organization (i.e. boys and girls club),Yes,"Yes, by email",Yes,Share my ideas about how to change my community,450,33%
2247,Observer,Asian,Female,Bachelor's Degree,unspecified,19147,1983,From the city,Yes,"Yes, by phone",unspecified,Connect with decision makers,490,58%
3651,,Asian,Female,unspecified,unspecified,19141,1996,From a friend,unspecified,unspecified,unspecified,unspecified,410,33%
2729,Lives in,Asian,Female,Doctoral Degree,unspecified,19143,1969,unspecified,No,No communication,No,Learn about issues in my community,220,33%
3665,Student,Black or African American,Male,High School or less,unspecified,19138,1997,From a friend,No,No communication,No,Share my ideas about how to change my community,650,33%
3578,Lives in,Black or African American,Female,Bachelor's Degree,unspecified,19143,1985,From the city,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,420,33%
3649,,Black or African American,Male,High School or less,unspecified,19142,1998,unspecified,unspecified,unspecified,unspecified,unspecified,470,33%
3668,Student,Black or African American,Male,High School or less,unspecified,19151,1996,From an organization (i.e. boys and girls club),No,No communication,No,Haven't thought about it,690,33%
3659,,Black or African American,Male,High School or less,unspecified,1951,2000,From an organization (i.e. boys and girls club),Yes,No communication,Yes,Meet other people in my community,390,23%
3652,Student,Black or African American,Male,High School or less,unspecified,19141,1996,From an organization (i.e. boys and girls club),No,No communication,Yes,Meet other people in my community,500,33%
3664,Student,Black or African American,Male,High School or less,unspecified,19151,1997,From an organization (i.e. boys and girls club),No,No communication,No,Share my ideas about how to change my community,710,33%
2762,"Community Organizer or Activist, Educator, Observer, Religious Leader, Student, Volunteer",Black or African American,Male,High School or less,unspecified,19142,1996,From a local blog,No,No communication,Yes,Share my ideas about how to change my community,50,8%
3655,Student,Black or African American,Male,High School or less,unspecified,19151,1996,From an organization (i.e. boys and girls club),unspecified,No communication,Yes,Connect with decision makers,650,33%
3648,Student,Black or African American,Male,High School or less,unspecified,19143,1997,unspecified,Yes,No communication,unspecified,Haven't thought about it,570,33%
3662,Student,Black or African American,Male,Doctoral Degree,unspecified,90210,1901,From a friend,unspecified,No communication,unspecified,Meet other people in my community,650,33%
3532,"Community Organizer or Activist, Religious Leader, Works In","Hispanic, Latino, or Spanish",Female,Doctoral Degree,unspecified,19143,2000,From the city,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1040,67%
3666,Lives in,"Hispanic, Latino, or Spanish",Male,High School or less,unspecified,19143,1997,From a friend,Yes,unspecified,unspecified,unspecified,650,33%
2772,Volunteer,unspecified,Male,Master's Degree,unspecified,19143,1971,From an organization (i.e. boys and girls club),Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,190,35%
3489,Works In,unspecified,Male,Bachelor's Degree,unspecified,19104,1984,From a local blog,No,No communication,unspecified,Haven't thought about it,250,17%
3001,Student,unspecified,unspecified,unspecified,unspecified,19143,2000,unspecified,unspecified,unspecified,unspecified,unspecified,140,33%
2367,"Lives in, Volunteer, Works In",unspecified,Female,Doctoral Degree,unspecified,19143,1949,From a local blog,No,"Yes, by letter",Yes,Connect with decision makers,220,33%
3236,,unspecified,Male,Doctoral Degree,unspecified,19104,1979,From a friend,No,No communication,No,Connect with decision makers,680,62%
2637,Works In,unspecified,unspecified,unspecified,unspecified,01970,2000,unspecified,No,unspecified,unspecified,unspecified,920,77%
3676,,unspecified,unspecified,unspecified,unspecified,19143,1974,From an organization (i.e. boys and girls club),No,"Yes, through community meetings",Yes,Haven't thought about it,500,33%
3698,Lives in,unspecified,Female,Doctoral Degree,unspecified,19104,1983,From an organization (i.e. boys and girls club),No,No communication,Yes,Connect with decision makers,210,12%
2675,"Community Organizer or Activist, Lives in, Volunteer",unspecified,Female,Master's Degree,unspecified,19143,2000,From a friend,unspecified,"Yes, by email",Yes,Learn about issues in my community,1580,100%
2868,,unspecified,unspecified,unspecified,unspecified,19143,1982,From an organization (i.e. boys and girls club),Yes,No communication,unspecified,unspecified,220,33%
3425,"Community Organizer or Activist, Lives in, Volunteer",unspecified,unspecified,unspecified,unspecified,19142,1952,From a friend,Yes,Other,Yes,Share my ideas about how to change my community,970,67%
3466,,unspecified,unspecified,unspecified,unspecified,19104,1922,unspecified,Yes,unspecified,unspecified,Haven't thought about it,300,33%
2393,,Multiracial,Female,unspecified,unspecified,19104,1990,unspecified,Yes,unspecified,unspecified,Haven't thought about it,210,33%
3679,,Other,Female,Master's Degree,unspecified,19050,1978,From an organization (i.e. boys and girls club),Yes,"Yes, by email",Yes,Learn about issues in my community,630,33%
3493,,Other,Male,unspecified,unspecified,19143,1990,From a local blog,Yes,Other,Yes,Learn about issues in my community,470,33%
3011,Lives in,White,Female,Bachelor's Degree,unspecified,19143,1978,From the city,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1520,100%
3695,,White,Female,Bachelor's Degree,unspecified,19143,1970,From a friend,No,"Yes, by email",Yes,Learn about issues in my community,90,6%
3566,Educator,White,Female,Master's Degree,unspecified,19104,1970,From an organization (i.e. boys and girls club),Yes,"Yes, by phone",Yes,Share my ideas about how to change my community,450,33%
2881,Lives in,White,Female,Doctoral Degree,unspecified,19139,1969,From an organization (i.e. boys and girls club),Yes,"Yes, by email",Yes,Share my ideas about how to change my community,1520,100%
2803,,White,Male,Some College,unspecified,19002,1991,From a local blog,No,No communication,No,Connect with decision makers,10,2%
3705,Observer,White,Female,Master's Degree,unspecified,19104,1979,From a friend,No,No communication,No,Learn about issues in my community,330,21%
3716,Community Organizer or Activist,White,Female,Doctoral Degree,unspecified,19143,2000,From an organization (i.e. boys and girls club),Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,450,33%
3571,Lives in,White,Female,Master's Degree,unspecified,19104,1939,From an organization (i.e. boys and girls club),No,No communication,Yes,Share my ideas about how to change my community,600,40%
2390,Works In,White,Male,Master's Degree,unspecified,19139,1972,From the city,Yes,"Yes, through community meetings",unspecified,Share my ideas about how to change my community,810,67%
3280,,White,Female,Doctoral Degree,unspecified,19104,1950,From an organization (i.e. boys and girls club),No,"Yes, by email",Yes,Share my ideas about how to change my community,200,33%
2747,"Lives in, Works In",White,Female,Doctoral Degree,unspecified,19041,1983,From a local blog,No,No communication,No,Share my ideas about how to change my community,40,4%
2822,Student,White,Female,Bachelor's Degree,unspecified,19146,1988,From an organization (i.e. boys and girls club),Yes,"Yes, through community meetings",No,Share my ideas about how to change my community,60,8%
2424,"Lives in, Student",White,Female,Bachelor's Degree,unspecified,19143,1989,From a friend,Yes,"Yes, through community meetings",No,Haven't thought about it,1270,100%
2398,Lives in,White,Female,Master's Degree,unspecified,19104,1987,From the city,Yes,"Yes, through personal meetings",No,Share my ideas about how to change my community,290,33%
2818,Lives in,White,Female,Master's Degree,unspecified,19143,1951,From a friend,unspecified,"Yes, by email",Yes,Share my ideas about how to change my community,620,46%
2660,,White,Male,Master's Degree,unspecified,19104,1954,From the city,Yes,Other,Yes,Share my ideas about how to change my community,60,10%
2428,Lives in,White,Male,Master's Degree,unspecified,19143,1983,From a friend,Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,200,33%
3238,Lives in,White,Female,Master's Degree,unspecified,19143,1967,From a friend,No,"Yes, by phone",Yes,Share my ideas about how to change my community,1360,100%
2737,Lives in,White,Female,Master's Degree,unspecified,19143,1943,From an organization (i.e. boys and girls club),No,"Yes, by email",Yes,Share my ideas about how to change my community,160,33%
2802,,White,Male,Some College,unspecified,19104,1992,From a friend,No,No communication,unspecified,Share my ideas about how to change my community,600,58%
2811,,White,Female,Master's Degree,unspecified,19104,2000,From a local blog,unspecified,unspecified,unspecified,Learn about issues in my community,110,4%
2263,,White,Female,Doctoral Degree,unspecified,191943,1970,From a local blog,Yes,"Yes, by email",Yes,unspecified,1200,100%
3380,Lives in,White,Male,Professional Degree,unspecified,19143,1976,unspecified,No,unspecified,Yes,Haven't thought about it,220,19%
3269,Lives in,White,Female,Doctoral Degree,unspecified,19104,1960,From a friend,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,70,12%
2836,Lives in,White,Male,Bachelor's Degree,unspecified,19139,1976,From a local blog,Yes,"Yes, by phone",Yes,Learn about issues in my community,210,31%
3259,,White,Male,Doctoral Degree,unspecified,19143,1965,From an organization (i.e. boys and girls club),Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,200,33%
2825,Student,White,Male,Bachelor's Degree,unspecified,19147,1986,From an organization (i.e. boys and girls club),Yes,"Yes, through social media",unspecified,Learn about issues in my community,190,25%
3697,,White,Male,Bachelor's Degree,unspecified,19143,1947,From a friend,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,560,33%
3404,Works In,White,Female,Master's Degree,unspecified,19128,1975,From the city,Yes,"Yes, through community meetings",Yes,Learn about issues in my community,1200,67%
2993,Observer,White,Female,Master's Degree,unspecified,19102,1970,From the city,Yes,"Yes, through community meetings",Yes,Connect with decision makers,1270,100%
2995,Lives in,White,Male,Professional Degree,unspecified,19143,1949,From an organization (i.e. boys and girls club),No,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,20,2%
2691,,White,Female,High School or less,unspecified,19104,1992,From a friend,No,No communication,No,Learn about issues in my community,160,33%
2806,Community Organizer or Activist,Black or African American,Female,Master's Degree,$75k - $100k,19143,1983,From an organization (i.e. boys and girls club),Yes,"Yes, through community meetings",No,Share my ideas about how to change my community,1590,100%
3667,Educator,Black or African American,Male,Master's Degree,$75k - $100k,19118,1978,From the city,No,No communication,unspecified,Share my ideas about how to change my community,110,6%
2701,Lives in,"Hispanic, Latino, or Spanish",Female,Bachelor's Degree,$75k - $100k,19104,1971,From a friend,Yes,"Yes, by email",No,Learn about issues in my community,160,29%
3702,"Business Owner, Lives in, Volunteer, Works In","Hispanic, Latino, or Spanish",Male,Bachelor's Degree,$75k - $100k,19143,1970,From a friend,Yes,No communication,No,Share my ideas about how to change my community,540,31%
3248,Lives in,Other,Male,Master's Degree,$75k - $100k,19143,1979,From a friend,No,"Yes, through social media",Yes,Haven't thought about it,200,33%
3014,Lives in,Other,Female,Bachelor's Degree,$75k - $100k,19143,1973,From an organization (i.e. boys and girls club),No,"Yes, by email",Yes,Share my ideas about how to change my community,560,50%
3264,Observer,Other,Female,Doctoral Degree,$75k - $100k,19146,1964,From a local blog,No,No communication,unspecified,Learn about issues in my community,130,25%
3546,,White,Male,Doctoral Degree,$75k - $100k,19104,1984,From an organization (i.e. boys and girls club),Yes,No communication,Yes,Share my ideas about how to change my community,510,33%
3696,,White,Male,Bachelor's Degree,$75k - $100k,19143,1980,From a local blog,Yes,"Yes, by phone",Yes,Share my ideas about how to change my community,320,17%
3270,Lives in,White,Female,Bachelor's Degree,$75k - $100k,19143,1985,unspecified,No,"Yes, by email",Yes,Share my ideas about how to change my community,1060,71%
2430,Educator,White,Male,Doctoral Degree,$75k - $100k,19008,1953,From the city,No,"Yes, by email",Yes,Learn about issues in my community,790,54%
2436,Observer,White,Male,Some College,$75k - $100k,,1964,From an organization (i.e. boys and girls club),Yes,"Yes, through personal meetings",No,Share my ideas about how to change my community,930,67%
3227,Lives in,White,Male,Master's Degree,$75k - $100k,19104,1981,From a friend,Yes,"Yes, by email",unspecified,Learn about issues in my community,1010,67%
3587,,White,Female,Master's Degree,$75k - $100k,19119,1957,From the city,Yes,"Yes, through personal meetings",No,Share my ideas about how to change my community,640,33%
2712,,White,Male,Bachelor's Degree,$75k - $100k,19136,1978,From the city,Yes,"Yes, through community meetings",unspecified,Haven't thought about it,270,33%
2272,Lives in,White,Male,Bachelor's Degree,$75k - $100k,19143,1952,unspecified,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1350,100%
3561,Lives in,White,Male,Bachelor's Degree,$75k - $100k,19143,1968,From the city,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,20,2%
3562,Observer,White,Female,Master's Degree,$75k - $100k,19103,1973,From a local blog,Yes,"Yes, through community meetings",No,Share my ideas about how to change my community,220,19%
3569,,White,Male,Doctoral Degree,$75k - $100k,19104,1935,From an organization (i.e. boys and girls club),No,"Yes, through community meetings",Yes,Share my ideas about how to change my community,520,54%
2232,Observer,White,Male,Doctoral Degree,$75k - $100k,19122,1987,From a friend,No,No communication,No,Share my ideas about how to change my community,1350,100%
3252,Lives in,White,Male,Master's Degree,$75k - $100k,19104,1946,From an organization (i.e. boys and girls club),No,"Yes, by email",No,Connect with decision makers,1070,100%
3430,"Educator, Lives in, Works In",White,Female,Bachelor's Degree,$75k - $100k,19139,1985,From a local blog,Yes,"Yes, by letter",Yes,Connect with decision makers,220,17%
2594,"Observer, Works In",White,Female,Master's Degree,$75k - $100k,19147,1979,From a local blog,Yes,"Yes, by email",Yes,Connect with decision makers,260,33%
2735,Lives in,White,Male,Master's Degree,$75k - $100k,19104,1978,From a local blog,Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,1750,100%
2815,Lives in,White,Male,Bachelor's Degree,$75k - $100k,19104,1985,From a local blog,No,"Yes, by email",No,Share my ideas about how to change my community,1360,100%
3475,Lives in,White,Male,Bachelor's Degree,$75k - $100k,19143,1978,From a local blog,No,"Yes, through social media",unspecified,Share my ideas about how to change my community,1040,67%
2438,"Community Organizer or Activist, Lives in",White,Male,Bachelor's Degree,$75k - $100k,19104,1965,From an organization (i.e. boys and girls club),Yes,Other,Yes,Share my ideas about how to change my community,1140,67%
2636,Lives in,White,Male,Bachelor's Degree,$75k - $100k,19143,1985,From the city,No,No communication,No,Learn about issues in my community,200,33%
2744,Community Organizer or Activist,White,Female,Master's Degree,$75k - $100k,19129,1980,From a local blog,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,300,33%
2765,"Educator, Lives in",White,Female,Bachelor's Degree,$75k - $100k,19104,1975,From a friend,No,"Yes, by email",Yes,Share my ideas about how to change my community,150,21%
3398,Business Owner,White,Female,Master's Degree,$75k - $100k,19143,1971,From a local blog,No,No communication,No,Meet other people in my community,290,33%
2754,"Community Organizer or Activist, Lives in",White,Male,Master's Degree,$75k - $100k,19143,1975,From an organization (i.e. boys and girls club),No,"Yes, by phone",Yes,Share my ideas about how to change my community,930,67%
2674,,White,Female,Bachelor's Degree,$75k - $100k,19130,1979,From a friend,No,"Yes, by email",unspecified,Haven't thought about it,70,10%
3240,Lives in,White,Female,Master's Degree,$75k - $100k,19143,1981,From a friend,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,120,25%
3097,,White,Female,Bachelor's Degree,$75k - $100k,19104,1974,From an organization (i.e. boys and girls club),No,"Yes, by email",No,Learn about issues in my community,220,33%
2871,,White,Male,Master's Degree,$75k - $100k,19143,1978,From a friend,No,No communication,Yes,Share my ideas about how to change my community,1580,100%
3265,,White,Male,Master's Degree,$75k - $100k,19147,1974,From a local blog,No,"Yes, by email",No,Share my ideas about how to change my community,210,33%
3338,,White,Female,Bachelor's Degree,$75k - $100k,19139,1977,From a local blog,No,"Yes, through community meetings",Yes,Haven't thought about it,470,33%
2296,Lives in,White,Female,Bachelor's Degree,$75k - $100k,19143,1985,From a friend,unspecified,"Yes, by email",Yes,Share my ideas about how to change my community,1490,100%
2603,Observer,White,Male,Bachelor's Degree,$75k - $100k,19123,1979,From a friend,Yes,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,240,33%
3577,"Business Owner, Lives in, Works In",White,Female,Bachelor's Degree,$75k - $100k,19104,1961,From an organization (i.e. boys and girls club),No,"Yes, by email",Yes,Share my ideas about how to change my community,510,50%
3496,,White,Male,Bachelor's Degree,$75k - $100k,19106,1985,From the city,Yes,No communication,unspecified,Learn about issues in my community,40,4%
3306,Lives in,White,Male,Bachelor's Degree,$75k - $100k,19143,1983,From a local blog,Yes,"Yes, through social media",No,Share my ideas about how to change my community,230,17%
2670,,White,Male,Master's Degree,$75k - $100k,19143,1983,From a friend,Yes,No communication,Yes,Haven't thought about it,160,29%
2326,Lives in,Asian,Female,Master's Degree,$50k - $75k,,1976,From an organization (i.e. boys and girls club),unspecified,"Yes, by email",unspecified,Share my ideas about how to change my community,760,67%
2231,Observer,Asian,Female,Master's Degree,$50k - $75k,,1980,From the city,unspecified,"Yes, through personal meetings",unspecified,Learn about issues in my community,210,33%
2383,Lives in,Asian,Female,Bachelor's Degree,$50k - $75k,19143,1990,From the city,unspecified,No communication,Yes,Share my ideas about how to change my community,1320,100%
2269,Community Organizer or Activist,Black or African American,Female,Associate's Degree,$50k - $75k,19104,1955,From the city,Yes,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,390,54%
3682,"Lives in, Student",Black or African American,Female,High School or less,$50k - $75k,19143,1995,From a friend,Yes,No communication,Yes,Learn about issues in my community,650,33%
3661,Student,Black or African American,Male,High School or less,$50k - $75k,19143,1994,unspecified,unspecified,No communication,unspecified,unspecified,170,12%
3657,Student,Black or African American,Male,High School or less,$50k - $75k,19131,1995,From a friend,No,No communication,Yes,Haven't thought about it,200,10%
2384,Lives in,Black or African American,Male,Master's Degree,$50k - $75k,,1989,From the city,unspecified,"Yes, through community meetings",unspecified,Connect with decision makers,210,33%
3594,Works In,Black or African American,Female,Doctoral Degree,$50k - $75k,19124,1981,From a local blog,No,No communication,No,unspecified,150,12%
3703,,Black or African American,Female,Some College,$50k - $75k,19143,1941,From an organization (i.e. boys and girls club),No,"Yes, through community meetings",Yes,Connect with decision makers,640,33%
3710,,"Hispanic, Latino, or Spanish",unspecified,Bachelor's Degree,$50k - $75k,19143,1983,From a friend,No,"Yes, by phone",unspecified,Connect with decision makers,440,33%
3273,Works In,"Hispanic, Latino, or Spanish",Male,Master's Degree,$50k - $75k,19146,2000,From a local blog,No,No communication,No,Learn about issues in my community,1470,100%
2261,Observer,"Hispanic, Latino, or Spanish",Male,Professional Degree,$50k - $75k,02130,1989,From a friend,unspecified,"Yes, by email",unspecified,Meet other people in my community,190,35%
2745,Lives in,unspecified,unspecified,Bachelor's Degree,$50k - $75k,19143,1987,From a local blog,No,No communication,No,Share my ideas about how to change my community,510,33%
3713,"Community Organizer or Activist, Lives in",Multiracial,unspecified,Bachelor's Degree,$50k - $75k,19143,1986,From a friend,No,"Yes, through community meetings",Yes,Connect with decision makers,60,4%
2786,Lives in,Multiracial,Female,Bachelor's Degree,$50k - $75k,19143,1969,From an organization (i.e. boys and girls club),No,"Yes, by email",No,Learn about issues in my community,250,33%
3538,Lives in,Multiracial,Female,Some College,$50k - $75k,19143,1974,From a local blog,Yes,"Yes, by phone",Yes,Learn about issues in my community,440,29%
2771,,Multiracial,Female,Bachelor's Degree,$50k - $75k,19143,1957,From a friend,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,290,33%
3349,,Multiracial,Female,Some College,$50k - $75k,19104,1992,From a local blog,Yes,"Yes, by email",Yes,Haven't thought about it,200,17%
3344,Lives in,White,Male,Master's Degree,$50k - $75k,19143,1983,From a local blog,No,No communication,No,Share my ideas about how to change my community,1200,67%
3718,Lives in,White,Female,Some College,$50k - $75k,19143,1989,From a friend,No,"Yes, by email",Yes,Connect with decision makers,630,33%
2650,Observer,White,Female,Master's Degree,$50k - $75k,19127,1975,From an organization (i.e. boys and girls club),Yes,"Yes, by email",Yes,Connect with decision makers,270,33%
2630,Lives in,White,Female,Doctoral Degree,$50k - $75k,19104,1985,From a friend,No,"Yes, through community meetings",Yes,Connect with decision makers,260,35%
