score,comparative,popular,user_id,challenge_id,response,likes_num,replies_num,replies
-1,-0.03125,1,3344,177,Why would we rebuild that complex? The park space on the corner is inaccessible. An effort to bring that park space to grade should solve the aesthetic problems caused by the complex.,1,0,
3,0.065217391,1,3344,288,"Building parks and trails on the river that you could reach by 49th, 54th, or 58th streets\nIncreasing access to - and connectivity between - the green space on the west side of the river from 49th to 58th would be an incredible asset for Southwest Philadelphia!",1,0,
5,0.135135135,2,3344,283,"More physically separated bike lanes on city streets, A riverfront trail from Bartram's Garden to City Center\nThere is NOTHING more important than physically separated bike lanes for improving bicycle safety short of removing cars from the road.",2,0,
2,0.017391304,1,3344,184,"Placing stops every 2-3 blocks in congested areas, Removing the right lane of parking on Chestnut Street from 40th to the river to create separate bus and bike lanes, Increasing financial incentives for employees in University City to take transit, Other (explain in comment)\nI would add that if a bus-only lane was to be added to Chestnut Street, it should be a physically separated lane (Bus Rapid Transit style) or else this would be no more than a nice idea that will turn into a 4th car lane. Alternatively, I am in favor of removing a parking lane and converting to bike lane while using 3rd vehicle driving lane for bus and HOV only traffic.",1,0,
4,0.046511628,3,3344,182,"Yes\nI have experienced the poor bicycle parking situation at 30th Station when traveling by bus or rail from the station. Parking is a very real consideration when you are departing for multi-day trips. Keeping bikes safe and out of the elements should encourage more bicycle travel to the transit hub. A big issue that still stands in the way is bicycle access to 30th street station. Currently, Market Street bike lane ends short of 30th street and a safe bike route is not very clear. http://goo.gl/maps/4Zd3d",3,0,
7,0.078651685,0,3344,171,"I think that the city should do more to promote these local commercial corridors to attract the already large customer base in the area. Yes, encouraging more residents to live above these retail establishments would help, but there is already a lot of residential development surrounding Lancaster Avenue. If you go back to the previous challenge, promoting residential use in the former school sites along Lancaster Ave will also add more residential. The key is attracting people to these locations and that is something that needs to happen organically.",0,0,
0,0,1,3344,169,"Yes\nAs an organizer of a running group, I would utilize any new trails available for recreation with the group. I would also us the trail for biking for leisure and for my commute as an alternative to the Grays Ferry Bridge.",1,0,
0,0,0,3344,167,"[[[39.959946841010485, -75.21078782653808]]]\nI have never been in the high rise ""city in the park"" development over next to the Drexel Vidas Athletic field. The limited access development, mixed with way too much media coverage (not to metion personal experience growing up in NYC) about the issues revolving around this type of public housing development - drugs, theft, assault, etc. - have kept me out despite living within 0.2 miles of the development for years.",0,0,
4,0.057142857,0,3344,161,"The Drew School parcel which fronts on 38th Street is a good candidate for continued large-scale commercial development that already exists along the 38th St/University Ave corridor, if there is a demand for that kind of development. At the same time, this section of 38th street could accommodate another retail development to provide another grocery store, retail, restaurant, etc. The U City HS location should be converted to residential use.",0,0,
4,0.020512821,1,3344,159,"Why is the 46th St. El Station so lifeless? That's the first question to ask here. This is a unique situation and not just a question of zoning classes and selecting the appropriate use. Developing in this area requires addressing the atmosphere created by the elevated rail lines. Ongoing efforts must be made to provide pedestrian lighting and other elements that enhance the feelings of security, like plans already underway to improve lighting going north along 46th Street to the station. 
Moreover, new development needs to be considered in the context of development happening across the street and up to Haverford. This Hidden City article lays it out well http://hiddencityphila.org/2012/03/the-more-things-change/
There is a lot of new development happening in the area, including the possible relocation of the PPD offices to the old Mutual Trust building at 46th and Market, which would bring a lot more human traffic to the depressed area. Given this new activity, the realistic potential of corner stores and small breakfast/lunch restaurants increases tremendously. New housing stock will have to contend with the constant noise of the El and will therefore be less desirable for private development, but makes sense for public housing.",1,0,
-4,-0.03960396,1,3344,162,"The efforts of commercial corridor development groups, such as Lancaster Avenue and 52nd Street, are already moving in the right direction. The problem requires community input as to what kinds of services are missing and provide the appropriate incentives to bring in that type of retail at the right scale to meet the demand. No, the answer is not more transit connections to giant stores. The answer is restoring grocery store and small retail establishments within walking distance of dense residential areas along corridors.
The solution is already at hand and more resources should be invested in groups already doing this work.",1,0,
-3,-0.040540541,1,3344,156,"Kevin lives in a township connected by regional rail directly to 30th street station, which is conveniently located to USW district public transit options. This is likely Kevin's fastest, lowest-stress commute option. Removing single-occupancy cars from roads is critical for our region. Kevin's complaints about too many cars on the road are a bit absurd when he is contributing to that problem. Hard for urbanites to really sympathize with suburbanites commuting into the city.",1,0,
0,0,0,3344,152,"Not Sure\nSo long as studies are conducted to ensure that elderly travelers do not have to walk further, possibly eliminating every other stop would work. Unfortunately, unless you take cars off the road, I don't see this speeding up travel times during rush hour.",0,0,
3,0.06122449,1,3344,150,"USW has a great public transit system with trolleys, subways, and bike infrastructure. The main challenge that I find is traveling north/south from my home. For example, travel to Fairmount park is not easy to do by bike or rail. I find bus service to be slow and unreliable.",1,0,
5,0.084745763,0,3344,145,"Several places jump out. The redevelopment of the old West Philly High School would help alleviate some housing needs. As well, the Apple Storage building is a good candidate for retrofit. There is a lot of vacant land and this could be used for multi-family housing, which is much easier than redeveloping the existing Victorian homes for multi-family use.",0,0,
0,0,0,3344,142,"Groceries, Clothing, Antiques",0,0,
7,0.142857143,0,3344,136,"RSA-2 thru RSA-5 are good uses as they represent a lot of USW existing stock. Semi-attached and detached may help alleviate noise disturbance issues presented by students. RM classification is also good for concentrating students. If locating on commercial corridor, CMX classification is probably ideal with mixed retail/residential use.",0,0,
1,0.018518519,0,3458,145,"There's a ton of vacant land and blighted homes just a couple of blocks south of Baltimore Avenue, at the beginning of Southwest Philly. Developers probably can't get away with condos in those areas just yet, but some higher end new construction apartment rentals would certainly find an audience with people just like Sarah.",0,0,
4,0.088888889,0,3458,142,"Groceries, Hardware, Electronics, Big Box Store (ex. Target)\nThere are plenty of corner stores in the neighborhoods, but I have to go all the way to South Philly or Jersey to go to Target. Wouldn't it be great if there was a Target in West Philly?",0,0,
4,0.068965517,1,3458,136,"RM-1 for smaller, privately developed student housing developments. This will allow multiple apartment houses by right, preventing situations where six people are sharing an entire house.
CMX-3 for larger developments with a commercial aspect, either privately developed or built by educational institutions. This will allow plenty of apartment units and allow commercial use to benefit residents and the community.",1,0,
5,0.106382979,1,3546,171,"Making capital improvements to Lancaster Ave., especially for making it more appealing to foot traffic with safer sidewalks, better lighting, etc. is an excellent start.  Increasing the density of the housing stock (especially for students) would certainly create more foot traffic in the area.  ",1,0,
7,0.170731707,1,3546,169,"Yes\nAbsolutely!  I already love running down the Schuylkill River trail from Spring Garden to Locust, and then have to run through Center City.  Having the trail continue down to Bartram's Garden would be amazing for running, biking, skating, etc.",1,0,
1,0.052631579,0,3546,167,"[[[39.95270970397546, -75.2253790435791]]]\nI have not been to Malcom X park because of the decline in safety upon passing 50th St.",0,0,
7,0.125,1,3546,162,"Definitely having better transportation to retail would help in the immediate circumstance.  Septa is very slow, takes a long time, and requires many transfers to arrive at any major shopping center.  Increasing density of housing would encourage more retail in UC neighborhoods, which would allow residents to easily walk to nearby retail.  ",1,0,
1,0.011904762,1,3546,161,"The new Powel Elementary school, coupled with the Science Leadership Academy Middle School and a high school that offers a high-performing alternative to University City high school, which is there now.  Aside from a new school, utilizing the space so that it can become a hub for the community, with a park similar to what Clark Park offers residents on Baltimore and Chester; a place that flourishes with farmer's markets, flea markets, kids soccer leagues, and concerts in the warm weather.  ",1,0,
1,0.010526316,2,3546,159,"This area has virtually unlimited possibilities, being so close to a major transit stop.  However, the vacant land contributes to more crime in the area, particularly under the El.  Increasing safety around the El station first would be paramount, as no one will want to be near the area if it weren't safe.  Coupled with increased safety should be a high-density development, one that moves many students/young professionals in the area and has attractive retail that has a continuous flow of patrons to greatly increase foot traffic in the area.  ",2,0,
-2,-0.022222222,2,3546,156,"DON'T DRIVE IN!!!  There is almost no reason for commuters to have to drive into University City to access their jobs in Eds. and Meds.  With Public Transit hubs so close (30th St. Station and University City Station for Regional Rail commuters) and the trolleys and El on Market St., along with frequent 21 and 42 busses, there is no reason for people to have to drive to their workplace in the area.  Use public transit and further reduce parking option to discourage people from driving in!",2,0,
1,0.03030303,0,3546,152,"Yes\nAbsolutely!  Stopping at ever numbered street, or in some cases, half-way between numbered streets greatly slows down this service.  Fewer stops would certainly increase efficiency and help in more accurate scheduling.",0,0,
9,0.125,3,3546,150,"The city should certainly encourage walking and biking in University City.  Having dedicated bike lanes on some streets has been helpful, but more could be added.  Crumbling/displaced sidewalks can be treacherous for pedestrians, so making sure they are repaired/replaced/are safe is also a priority.  Making sure that subway stops are safe (particularly 46th st., which is notoriously dangerous) would further encourage use of the high speed transit.  ",3,0,
0,0,0,3546,145,"There are many vacant lots the further west you go on the trolley route (and not even that far west on some).  New housing stock could help revitalize struggling blocks/streets, while rehabilitating vacant homes would also be very beneficial for our neighborhoods.  ",0,0,
0,0,0,3546,142,"Groceries, Hardware, Electronics, Dollar Store",0,0,
3,0.085714286,0,3546,136,"RMX-3.  It allows for ample student housing in one space, developing a dense development, allowing for good commercial retail on the ground floors and ample parking for students hidden away below ground.  ",0,0,
0,0,0,3654,195,A new plaza at 48th and Baltimore\ntuhggghghvhh,0,0,
0,0,0,3654,197,"[[[39.9559781, -75.2597374]], [[39.9559781, -75.2597374]]]\nkhkjhjkhhjjkh",0,0,
0,0,0,3654,175,"ljktjnhgjkntrkjnjknhkjnhjknkjrnyjknrmj,tylnhtklnyjltykjetykljlkyu",0,0,
2,0.111111111,0,3654,179,"I mostly drive to large chain stores, but sometimes I ride the trolley\nit just seems better too me",0,0,
0,0,0,3654,173,"[[[38.982365, -76.15919300000002]]]",0,0,
0,0,0,3654,174,jiltgjulghjlgfjlghklgkl,0,0,
0,0,0,3654,177,fdkljbhgsdfjkbsdjkbsdjkbsfdjkbd,0,0,
0,0,0,3654,288,Redesigning Kingsessing Recreation Center to include more space for recreation other than organized team sports\nrgr,0,0,
0,0,0,3654,283,Public bicycles available for sharing at a minimum fee\nthis on,0,0,
0,0,0,3654,184,Removing the right lane of parking on Chestnut Street from 40th to the river to create separate bus and bike lanes,0,0,
0,0,0,3654,182,Yes\nGood idea,0,0,
-1,-0.032258065,0,3718,285,"None of these\ndrexel park is sparse. the others, i didn't know they existed, and particularly with spruce street plaza, i simply don't like being around the undergraduates. they're loud and obnoxious.",0,0,
6,0.101694915,0,3718,195,"A new park along the Schuylkill River near Bartram's garden\na new plaza at 48th and baltimore, i think, would be a nice place to meet up with friends without having to buy anything. the 40th st. portal is a nice idea too. a park near bartram's garden would not be much use without a bike path to get there.",0,0,
0,0,0,3718,197,"[[[39.949617239174955, -75.20937162017822]]]\nmaybe i would use it to get things back to my house from the farmers' market, and then walk back once i had returned the bike?",0,0,
1,0.027027027,0,3718,173,"[[[39.946425932113094, -75.2259369430542]]]\nthis part of 52nd only has like 3 or 4 businesses/churches on it. single-family housing would put ""eyes"" on the street and also prevent more condo/apartment developments for more affluent people from crunching up people's neighborhoods.",0,0,
-7,-0.051094891,0,3718,175,"I feel like the Shake Shack is a bad example of a chain store. Are we talking more about Target or H&M---retail, as opposed to food service?
I would worry that these businesses, especially near 30th, will take customers from traditional shopping streets, so negative impact. I think that a very limited number of chain ""anchor"" stores closer to the actual businesses on these streets (i.e. further west than 30th Street) is a much better plan, as chains near 30th will increase traffic on already congested trolley lines. 
Personally, I might go to the chains for convenience and lower prices, as everyone but the most holy would. But I'd be very ambivalent and sad about giving my money to a store that is taking business away from the corner stores and dollar stores, causing them to raise prices.",0,0,
0,0,0,3718,179,"I do most of my shopping locally on foot, by bike, or on the trolley\nno car",0,0,
0,0,0,3718,174,"I'm not sure? I think it might make housing more expensive, pushing people out further into more blighted areas or squeezing them between the city and the suburbs even more. Maybe if that development happens, applications should be weighted for residents of the USW district.",0,0,
2,0.034482759,0,3718,177,"I like ""Paseo Verde."" I think the NYC example, with all the bright colors, is too juvenile and would make residents feel infantilized, and the brown brick one is ugly. I think we should go for something more like the recent green affordable developments in NoLibs in terms of design: blocky elements, subdued colors and plenty of glass.",0,0,
2,0.034482759,0,3718,288,"Building parks and trails on the river that you could reach by 49th, 54th, or 58th streets\nthe highways block the river off so efficiently. being able to access it more easily from my home near 49th street would drastically improve my quality of life. i don't play team sports or have children and haven't visited the rec centers.",0,0,
0,0,0,3718,283,"More physically separated bike lanes on city streets, A secure bike parking facility at 30th Street Station, More bike parking in the neighborhoods, A riverfront trail from Bartram's Garden to City Center\nI already ride my bike a lot of the time, but I often take SEPTA when I'm just too tired to deal with car traffic and/or finding a place to park when I take the Megabus/Boltbus.",0,0,
-2,-0.068965517,0,3718,184,"Placing stops every 2-3 blocks in congested areas, Removing the right lane of parking on Chestnut Street from 40th to the river to create separate bus and bike lanes",0,0,
0,0,0,3718,182,"Yes\nyes, i would definitely use it!",0,0,
0,0,0,3630,285,Drexel Park\nDrexel park,0,0,
0,0,0,3630,195,"A redesigned 40th Street trolley portal with trees, seating, and a cafe\nAdd more",0,0,
0,0,0,3630,197,"[[[39.96369669258229, -75.29807763671874]]]\nMore bikes lanes",0,0,
-2,-0.285714286,0,3630,175,Start more developments can bring more problems,0,0,
0,0,0,3630,179,"I do most of my shopping locally on foot, by bike, or on the trolley\nSave more gas for people",0,0,
0,0,0,3630,173,"[[[39.89880185313299, -75.23662286376953]], [[39.91144340004968, -75.21722512817382]]]\nAdd more parks to the areas",0,0,
0,0,0,3630,174,These add to the polultion in the area,0,0,
0,0,0,3630,177,More people would buy more of these house,0,0,
0,0,0,3630,288,"Building parks and trails on the river that you could reach by 49th, 54th, or 58th streets\nThey use the parks as waste land",0,0,
0,0,1,3630,283,More physically separated bike lanes on city streets\nLess gas use when people use bikes,1,0,
-2,-0.095238095,0,3630,184,Placing stops every 2-3 blocks in congested areas\nThey make each bus a double buse to make more room om the bus,0,0,
-2,-0.2,0,3630,182,Not Sure\nIm not sure because theyb steal bikes down town,0,0,
1,0.017857143,0,2772,283,"More physically separated bike lanes on city streets, A secure bike parking facility at 30th Street Station, More bike parking in the neighborhoods\nThe key is to feeling safe on the road (more separation between cars and bikes) and being able to leave your bike in public without being concerned that it will be stolen or damaged.",0,0,
16,0.197530864,0,2772,129,"What's not to like?  Many parks, lots of outdoor activites.  Lots of easy access to late night clubs.  A growing sense of community.  Great Arts (like Philadanco).  To love Philadelphia, you need to explore it.  Try something different.  Rather than going to a restaurant, give a new chef a chance at the Restaurant School and help someone learn their craft. Go to Bartram Gardens and be surprised that it exists at all.  ",0,0,
-1,-0.066666667,0,2772,127,"No, but as a resident I am trying to stay involved with my local schools.",0,0,
12,0.048,0,2772,124,"This is a difficult question.  I think in the most general terms, there is a lack or limited sense of opportunities.  One major (and the main) issue is the lack of good public education options.  The one area of growth (non-student oriented) is where the public school is supported by Penn.  I think the lack of education options (for our children) forces lower and middle income families to places where they can both afford the taxes and send their kids to public school.  If we continue to ignore our public schools, we will continue to see unequal population growth (and decline) that is dependent on non-government institutions.  I think we will continue to see this unequal growth/decline no matter how we slice the community population (economically, racially, or politically). 
A second issue is job opportunity.  Yes, our major educational institutions are sources for jobs.  But there seem to limited start-ups and young businesses.  The technology center along Market should be competing with other cities like San Francisco, Seattle, New York etc.  We have many of the same resources, magnets for young people, and old neighborhoods with diverse and good housing stock.  I'm not sure how to tackle this issue, but it seems to be a blend of zoning, taxing, and general city-wide policy.  I remain optimistic, because there is discussion and progress on these fronts.  I just wish it could happen more quickly.    ",0,0,
0,0,0,2772,121,"[[[39.95532503050441, -75.18724876022338]]]\nSomewhere near 30th Street Station.",0,0,
0,0,0,2772,119,"The El\nThe El is fast, generally on time, and dependable 95% of the time.",0,0,
3,0.024193548,0,2772,117,"Yes, almost every day\nI use the Market/ Frankford.  Door to door it takes the same time as the trolley, but I enjoy the extra walk.  I do hope SEPTA comes out with a card system soon.  The whole process of getting tokens is inconvenient at best and painful at worst.  Why, why why does SEPTA accept cash only at the stations and some places don't even make change?  What a waste to resources to have someone sitting in a booth all day and they are not ""allowed"" to make change.  Minor complaint: I wish the trolley was less noisy inside the tunnel.  We do live in the 21st Century, this should not be too much to ask.",0,0,
1,0.029411765,0,2772,112,"[[[39.943571724687835, -75.21088438606262]]]\nWe need to find a place that is large enough, easy access to local farms (i.e. major roadways) and walkable for most of us.  What about the corner of 47th and Woodland?",0,0,
4,0.037735849,0,2772,111,"Yes. I am an interested to learn more about food options north of Market and south of Lancaster.  We used to buy our food more locally and were willing to pay more and visit more places.  With children at home there is far less time for this.  Since having children and buying a car, we usually shop at larger grocery stores with more selection to insure we can get what we need without making it an all day event.  That said, we still enjoy the errands to the local store or market to get a special item or a last minute ingredient.",0,0,
2,0.047619048,0,2772,110,"The University of Pennsylvania is the second largest employer in the city.  The universities including Drexel, U. Sciences (and others) are a magnet for people.  This is a transient community, but it makes for an interesting and diverse community. ",0,0,
0,0,0,2772,108,"[[[39.947704940320065, -75.20984100675582]]]\nClark Park always has something going on.  From exercising, playing rec soccer, the markets, the farmers market, the concerts, the plays, seeing friends, and getting outside.",0,0,
-1,-0.023255814,0,2772,107,"None\nNone of the above.  We go to Clark Park, Cedar Park, Malcolm X Park, Taney Park - or Fairmount Park.  Frankly, I either wasn't aware of the rec centers, found them to be uninviting, or had no reason to go there.",0,0,
4,0.036363636,2,2772,106,"The hidden spaces that we stumble upon are most beautiful.  In the alley between the 4600 blocks of Pine and Osage, you will find a huge weeping cherry tree that blooms bright pink and red.  It is an explosion of color to signal the end of winter and beckons all of us out of our houses.  During the summer it shades the residents and I enjoy hearing the hidden and whispered conversations that occur in the decks under the tree.   In the winter it is a silent ""wooly mammoth brushing the ground, reminding us and waiting for us to return in the spring.  ",1,1,"The biopond off Woodland Walk on Penn's campus is a similar ""hidden space."""
6,0.222222222,0,3520,285,"Penn Park, Shoemaker Green\nPenn Park is a very nice way to walk into Center City from University City.  Away from traffic and across green--it's just lovely.",0,0,
2,0.074074074,0,3520,195,"A redesigned 40th Street trolley portal with trees, seating, and a cafe\nThe 40th Street portal is not friendly to walkers!  It could really use some work.",0,0,
0,0,0,3520,197,"[[[39.940569331895965, -75.15525537109374]]]\nYep, sure would use it.  Just to get around.",0,0,
2,0.060606061,0,3520,175,"So long as rent does not go up too much in the adjoining neighborhoods, the impact should be positive.  The areas will then be known more as shopping districts, encouraging foot traffic.",0,0,
2,0.058823529,0,3520,179,"I do most of my shopping locally on foot, by bike, or on the trolley\nMore shopping near the 40th Street Corridor west on Walnut.  More around 30th Street Station for ease for commuters.",0,0,
0,0,0,3520,173,"[[[39.85862312907685, -75.2271814880371]]]\nI really don't think single family homes are required anywhere.",0,0,
4,0.133333333,0,3520,174,"I think it would lead to more gentrification, but ultimately an improved USW and an improved city.  Safer, wealthier and with room for affordable housing in a renewed neighborhood.",0,0,
-1,-0.029411765,0,3520,177,"This is one of the ugliest pieces of architecture anywhere in the near area.  It should also be a lot more dense and blend in better with the surrounding area.  Ew, ugly!",0,0,
5,0.192307692,0,3520,288,"Building parks and trails on the river that you could reach by 49th, 54th, or 58th streets\nAny new green space along the river would be fabulous!",0,0,
5,0.089285714,0,3520,283,"More physically separated bike lanes on city streets, Public bicycles available for sharing at a minimum fee, A riverfront trail from Bartram's Garden to City Center\nBike sharing is a great way to encourage biking.  More trails to get from one side of the city to the other, especially around the southern end are greatly needed.",0,0,
0,0,0,3520,184,"Placing stops every 2-3 blocks in congested areas, Removing the right lane of parking on Chestnut Street from 40th to the river to create separate bus and bike lanes, Increasing financial incentives for employees in University City to take transit\nAll three are great ideas.  Fewer stops leads to faster traffic leads to fuel efficiency for the cars on the road.",0,0,
4,0.8,0,3520,182,Yes\nThis is a terrific idea!,0,0,
2,0.039215686,0,3520,171,"Not many people make it to this area unless they are residents or work in that section of UC.  I would advise changing zoning to allow people to live above the commercial corridor, keeping foot traffic active, and drawing other businesses, which would feed into the market for commercial properties.",0,0,
5,0.333333333,0,3520,169,Yes\nI would love a trail like this!  I would walk it all the time!,0,0,
-1,-0.125,0,3520,167,"[[[39.94501118135574, -75.21430688476562]]]\nWell, it's pretty darn scary down there.",0,0,
-2,-0.068965517,0,3520,162,"Kingsessing's problems are so deep, the city can't do much about them.  I'd advise Celia to move to a new aging in place development near a commercial corridor.",0,0,
-7,-0.212121212,0,3520,161,"They should be preserved and converted to housing/apartments/condos.  Too much new construction is boring, ugly and has no character.  Someday, the buildings could be re-purposed back to their original function, too.",0,0,
5,0.080645161,3,3520,159,"A mixed-use development focusing on technology business development would be terrific.  It could house businesses from recent graduates of Drexel and U Penn, and keep them in the city.  The commute would be easy for people living all around the city, too.  Ideally, it would options for shopping and food, to keep people in the area who work there.",2,1,"I had a very similar thought in my response. I also thought this type of space would be cool around Bartram Garden's which could be developed into a fun hipster area. Although, this space offers more commuting options."
0,0,1,3520,156,"Take the train, Kevin!",1,0,
2,0.181818182,1,3520,152,No\nThe trolley doesn't have too many stops.  It's great as-is.,1,0,
4,0.075471698,0,3520,150,"Obviously, the area should not encourage cars!  Cars require parking and reduce housing density.  The streets should be more bicycle friendly with added bike lanes as much as possible.  Slower traffic would also make it easier on pedestrians navigating the often too busy area at 36th Street near Penn's campus.",0,0,
1,0.021276596,0,3520,145,"I could picture this kind of housing past 40th Street in the Baltimore Avenue corridor.  A few blocks off of Baltimore, there are places for larger housing structures where students do not typically live.  They could have larger single family homes, with smaller duplexes nearby.",0,0,
1,0.034482759,0,3520,142,"Groceries, Clothing, Hardware, Office Supply\nThere simply are not enough options for purchasing fresh food in the area.  The people here need more options, as competition should lower prices.",0,0,
1,0.058823529,0,3520,136,RM 2 or RM 3.  These styles fit the higher density and pattern of the street.,0,0,
6,0.12244898,0,2650,129,"There are so many great, affordable places to eat. All types of food from Vietnamese, to Ethiopian, and more. Baltimore Ave has turned into a hub of small businesses. This would be a great place to explore. There are also often concerts in the park here in the summer.",0,0,
3,0.1,0,2650,127,"In order for the school district to improve, big changes are needed. I believe Dr. Hite knows what he is doing and, although painful, is making tough but necessary choices.",0,0,
0,0,0,2650,124,Most folks probably moved to the burbs to raise their children.,0,0,
-3,-0.12,0,2650,121,"[[[39.95448616307835, -75.18220620727539]]]\nThis intersection is awful. I avoid it at all costs! It can increase a commute by 40 minutes if traveling by car or bus.",0,0,
3,0.130434783,2,2650,119,Trolleys\nTrolleys have a wide variety of stops to get you close to your destination. They have a certain charm to them as well.,2,0,
5,0.2,0,2650,117,"Yes, from time to time.\nWill often take the El since it is fast and located pretty well to where I'm going. Trolleys are great too.",0,0,
-2,-0.111111111,0,2650,112,"[[[39.94152353128362, -75.20881372070312]]]\nSquirrel Hill is off the beaten path of UC area. More resources are needed in this area.",0,0,
0,0,2,2650,111,"I'm not sure, there is much more green area than I would expect.",2,0,
0,0,0,2650,110,I think most work for UPenn,0,0,
0,0,0,2650,108,"[[[39.95228203100463, -75.20907121276855]]]\nLove the Vietnamese restaurant here!",0,0,
0,0,0,2650,107,None\nDon't live in the neigborhood,0,0,
3,0.048387097,5,2650,106,There's something about the 40th Street Trolley Portal. Maybe it reminds me of Sesame Place; it might be the layout of the space; it is not something you see in every city. I think what I love most is the diversity. There are people from all walks of life on their way to or from - suddenly converged in an outdoor space.,4,1,"I've never thought of this as a ""beautiful place""- but it is definitely a place rife with potential... for what? I dunno?  A mini street fair?
"
2,0.042553191,1,2347,285,"Penn Park\nI've spent a little bit of time in Penn Park, but not in Drexel Park or Shoemaker Green. I'm not a fan of Spruce Street Plaza...the space feels awkward and uninviting to me. It's just one loop without much active space for running around or playing.",1,0,
14,0.166666667,0,2347,195,"A new park along the Schuylkill River near Bartram's garden\nI would most like to see a trail and park along the Schuylkill connecting Center City to Bartram's. I know that there is already a lot of momentum and energy behind this project, and it's exciting to think that it could happen so soon and benefit so many people. As people have said in past comments, Bartram's Garden is a truly beautiful and unique destination, and an easier/faster way to get there would be fantastic.",0,0,
2,0.039215686,1,2347,197,"[[[39.95448616307903, -75.1834507522583]]]\nI would probably ride my own bike rather than rent, but I think having a bikeshare pod at 30th St. Station would be convenient for university students. It would also be helpful for visitors to the Schuylkill River Trail to be able to rent a bike for a day trip.",1,0,
3,0.12,0,2347,175,"I think mix-used development is a good idea, but I don't see why the retail stores in these units have to be national chains. ",0,0,
0,0,1,2347,179,"I do most of my shopping locally on foot, by bike, or on the trolley\nThe main reason I would prefer to drive (although I don't have a car) is because it's hard to carry lots of bags of groceries while biking or walking long distances. I like shopping at Trader Joes because there's a trolley stop across the street and I can take that home.",1,0,
0,0,0,2347,173,"[[[39.94698524411093, -75.21241860961914]]]\nI don't know the entire area well enough to pick one point, so I just picked a spot that seems close to green space and close enough to a commercial corridor.",0,0,
6,0.09375,0,2347,174,"Bringing light industrial jobs to post-industrial areas will bring new life into these dead spaces, and a trail and greenway along the river will serve as a great amenity for the employees working in these new facilities. The greenway will also serve as an important buffer to protect these properties in case of flooding. I think this is a good idea all around. ",0,0,
14,0.205882353,0,2347,177,"It would be nice to modernize the housing complex, without making it flashy and high-risey so that it sticks out like a sore thumb. I live in Kensington and I'm not a big fan of the cheap looking pre-fab rowhomes that are popping up all over my neighborhood. A nice courtyard in this space would be nice, and lots of windows to let light in.   ",0,0,
