user,age,gender,stake,response,score,comparative,comments,likes
45,33,Male,Worker,I love awesome things are great,10,1.666666667,0,3
46,18,Male,Student,Who are you?,0,0,0,0
47,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
48,12,Male,Student,This is pretty fun,5,1.25,0,0
49,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
50,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,1,0
51,33,Male,Worker,I love awesome things are great,10,1.666666667,2,2
52,18,Male,Student,Who are you?,0,0,2,0
53,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
54,12,Male,Student,This is pretty fun,5,1.25,0,0
55,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
56,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
57,33,Male,Worker,I love awesome things are great,10,1.666666667,0,1
58,18,Male,Student,Who are you?,0,0,0,0
59,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,4
60,12,Unspecified,Student,This is pretty fun,5,1.25,0,0
61,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
62,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,2
63,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,0,2
64,18,Unspecified,Student,Who are you?,0,0,0,0
65,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
66,12,Unspecified,Student,This is pretty fun,5,1.25,0,3
67,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
68,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
69,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,0,0
70,18,Unspecified,Student,Who are you?,0,0,0,0
71,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
72,12,Unspecified,Student,This is pretty fun,5,1.25,0,4
73,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
74,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
75,33,Male,Worker,I love awesome things are great,10,1.666666667,0,3
76,18,Male,Student,Who are you?,0,0,0,0
77,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
78,12,Male,Student,This is pretty fun,5,1.25,0,0
79,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,1
80,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,2,0
81,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
82,18,Male,Student,Who are you?,0,0,0,0
83,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
84,12,Male,Student,This is pretty fun,5,1.25,0,2
85,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
86,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
87,33,Male,Worker,I love awesome things are great,10,1.666666667,2,0
88,18,Male,Student,Who are you?,0,0,0,0
89,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
90,12,Unspecified,Student,This is pretty fun,5,1.25,0,0
91,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
92,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
93,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,0,0
94,18,Unspecified,Student,Who are you?,0,0,0,0
95,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,2
96,12,Unspecified,Student,This is pretty fun,5,1.25,0,0
97,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
98,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
99,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,0,0
100,18,Unspecified,Student,Who are you?,0,0,0,0
101,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
102,12,Unspecified,Student,This is pretty fun,5,1.25,0,3
103,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
104,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
105,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,0,4
106,18,Unspecified,Student,Who are you?,0,0,2,1
107,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
108,12,Unspecified,Student,This is pretty fun,5,1.25,0,0
109,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
110,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
111,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,0,0
112,18,Unspecified,Student,Who are you?,0,0,0,0
113,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
114,12,Unspecified,Student,This is pretty fun,5,1.25,0,2
115,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
116,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,0,3
117,33,Unspecified,Worker,I love awesome things are great,10,1.666666667,2,0
118,18,Unspecified,Student,Who are you?,0,0,0,0
119,55,FeUnspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
120,12,Unspecified,Student,This is pretty fun,5,1.25,0,0
121,48,FeUnspecified,Worker,Good bad ugly fat shit,-7,-1.4,2,0
122,34,Unspecified,Teacher,Good bad ugly fat shit,-7,-1.4,2,0
123,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
124,18,Male,Student,Who are you?,0,0,0,1
125,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,3
126,12,Male,Student,This is pretty fun,5,1.25,0,4
127,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,2
128,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
129,33,Male,Worker,I love awesome things are great,10,1.666666667,2,0
130,18,Male,Student,Who are you?,0,0,0,0
131,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,4
132,12,Male,Student,This is pretty fun,5,1.25,2,0
133,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,2,0
134,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,3
135,33,Male,Worker,I love awesome things are great,10,1.666666667,0,3
136,18,Male,Student,Who are you?,0,0,0,0
137,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,2
138,12,Male,Student,This is pretty fun,5,1.25,0,0
139,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
140,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
141,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
142,18,Male,Student,Who are you?,0,0,0,0
143,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
144,12,Male,Student,This is pretty fun,5,1.25,0,0
145,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,2,0
146,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,1,0
147,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
148,18,Male,Student,Who are you?,0,0,0,0
149,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
150,12,Male,Student,This is pretty fun,5,1.25,2,4
151,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
152,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,2,0
153,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
154,18,Male,Student,Who are you?,0,0,0,0
155,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
156,12,Male,Student,This is pretty fun,5,1.25,0,0
157,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
158,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
159,33,Male,Worker,I love awesome things are great,10,1.666666667,0,3
160,18,Male,Student,Who are you?,0,0,0,0
161,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,1
162,12,Male,Student,This is pretty fun,5,1.25,0,0
163,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
164,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,1
165,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
166,18,Male,Student,Who are you?,0,0,0,0
167,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
168,12,Male,Student,This is pretty fun,5,1.25,0,0
169,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,1,0
170,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
171,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
172,18,Male,Student,Who are you?,0,0,0,0
173,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
174,12,Male,Student,This is pretty fun,5,1.25,0,0
175,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
176,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
177,33,Male,Worker,I love awesome things are great,10,1.666666667,1,0
178,18,Male,Student,Who are you?,0,0,0,4
179,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
180,12,Male,Student,This is pretty fun,5,1.25,0,0
181,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
182,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,3
183,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
184,18,Male,Student,Who are you?,0,0,0,3
185,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
186,12,Male,Student,This is pretty fun,5,1.25,0,0
187,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
188,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,1,0
189,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
190,18,Male,Student,Who are you?,0,0,0,2
191,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
192,12,Male,Student,This is pretty fun,5,1.25,0,0
193,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
194,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
195,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
196,18,Male,Student,Who are you?,0,0,0,3
197,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
198,12,Male,Student,This is pretty fun,5,1.25,0,2
199,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
200,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
201,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
202,18,Male,Student,Who are you?,0,0,0,2
203,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
204,12,Male,Student,This is pretty fun,5,1.25,0,0
205,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,4
206,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
207,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
208,18,Male,Student,Who are you?,0,0,0,0
209,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,4
210,12,Male,Student,This is pretty fun,5,1.25,2,0
211,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
212,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
213,33,Male,Worker,I love awesome things are great,10,1.666666667,0,4
214,18,Male,Student,Who are you?,0,0,0,1
215,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
216,12,Male,Student,This is pretty fun,5,1.25,0,2
217,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
218,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
219,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
220,18,Male,Student,Who are you?,0,0,0,0
221,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
222,12,Male,Student,This is pretty fun,5,1.25,0,0
223,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
224,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,1,1
225,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
226,18,Male,Student,Who are you?,0,0,0,0
227,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
228,12,Male,Student,This is pretty fun,5,1.25,0,3
229,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,1,0
230,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
231,33,Male,Worker,I love awesome things are great,10,1.666666667,0,4
232,18,Male,Student,Who are you?,0,0,0,0
233,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
234,12,Male,Student,This is pretty fun,5,1.25,0,0
235,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,2
236,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
237,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
238,18,Male,Student,Who are you?,0,0,0,0
239,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
